Max_temp,Min_temp,Rainfall,Year_apr
13.1,5.2,46.1,1949
10.9,3.4,51.1,1950
10.2,2,28.6,1951
12.5,4.8,39,1952
10.6,2.8,65.5,1953
12,3.9,14.3,1954
13.5,5.3,21.3,1955
11.5,3.4,47.6,1956
11.7,4.7,26.4,1957
11.2,4.4,29.9,1958
12.2,4.8,44.1,1959
12.6,5.2,27.2,1960
12.5,6.3,90.4,1961
10.9,4.1,40.8,1962
11.2,4.7,47,1963
11.6,4.9,62.3,1964
11.8,4.8,45.4,1965
9.6,4.3,151.8,1966
12.3,5,33.9,1967
11,3.7,58.6,1968
11.5,3.8,62.3,1969
10.8,3.2,85.3,1970
10.9,4.6,52.4,1971
11.7,5.2,49.2,1972
10.8,3.8,48.1,1973
11.5,4.4,43.4,1974
12,4.9,42.8,1975
11.3,4.9,17.7,1976
10.7,3.7,43.4,1977
9.8,3.7,29.6,1978
10.6,4,53.1,1979
12.8,4.7,8.2,1980
11,4.7,49,1981
12.9,5,19.5,1982
10,2.7,67.1,1983
12.3,5,32.6,1984
12.5,4.9,40.2,1985
9.5,2.4,48.2,1986
13.2,5.8,71.8,1987
12.2,5.5,24.9,1988
10.5,3.1,79.3,1989
12.2,3.8,24.2,1990
11.1,4.4,92.3,1991
11.8,5.1,70.3,1992
12.8,6.6,48.7,1993
11.4,3.7,60.3,1994
12.8,3.8,27.3,1995
12.3,4.2,58.3,1996
13.1,4.5,48.4,1997
10.6,3.1,115.6,1998
12.9,4.7,75.2,1999
10.4,2.5,89.5,2000
11.5,2.9,77.9,2001
12.4,3.8,81.7,2002
13.1,4.7,37,2003
12.8,4.6,31.8,2004
11.9,4.1,71.6,2005
12.5,3.5,41.1,2006
15.2,6,14.7,2007
11.7,3.4,27.6,2008
12.4,4.2,71.1,2009
12.9,2.5,26.7,2010
15.2,5,28.4,2011
10.4,2.8,90.2,2012
11.1,2.6,40.1,2013
13.6,4.1,34.2,2014
13,1.8,43.9,2015
10.6,1.9,88.2,2016
12.4,3.7,10,2017
11.9,4.4,68.9,2018
