Max_temp,Min_temp,Rainfall,Year_aug
19.2,11.2,80.3,1949
18.2,10.3,145.8,1950
17.6,10,83.3,1951
18.7,11.1,98.4,1952
19.1,10.8,76.8,1953
17.4,9.7,70.8,1954
20.8,12.7,85.3,1955
16.6,9.2,155,1956
17.9,11,88.3,1957
18,11.4,140.6,1958
19.9,12,17.6,1959
17.8,10.5,86.3,1960
18.2,10.4,47.3,1961
17.3,10,73.1,1962
17.2,10.1,103.1,1963
18,10.9,81.3,1964
17.9,10.5,55.4,1965
17.8,10.6,56.5,1966
17.9,10.8,64.3,1967
18.7,11.3,106.6,1968
18.7,11.7,34.1,1969
18.4,11,68.3,1970
18.1,11.3,66.9,1971
17.6,10.1,24,1972
18.9,11.5,108.9,1973
18.1,10.6,30.2,1974
20.2,12.4,35.9,1975
20.4,12,6.6,1976
18.6,11.6,68.1,1977
17.8,11.2,116.7,1978
18.1,10.3,96.5,1979
18.5,11.7,97.8,1980
19.7,12.3,11.6,1981
18.9,10.8,65.6,1982
20.7,13.1,45.4,1983
20.6,12.9,95,1984
16.9,10.1,124.6,1985
15.8,8.6,158.7,1986
19.1,11.4,87.4,1987
18.3,10.7,54.5,1988
19.8,11.6,81.9,1989
20.6,12.7,49.8,1990
20.1,12.3,36.9,1991
18.1,10.6,85.3,1992
18.2,10.5,36.8,1993
17.6,10,58.6,1994
22.9,11.8,7.2,1995
18.3,10.3,102.9,1996
19.9,12,81.2,1997
19.5,10.3,45,1998
18.5,10.7,106.8,1999
19.8,10.5,62.8,2000
19.3,10.4,97.1,2001
18.9,11.2,50.8,2002
20.6,11,14.5,2003
19.7,11.4,133.9,2004
19.6,10.9,26,2005
19.4,11,57.6,2006
18.7,10.4,95.5,2007
18.4,11.9,189.9,2008
19.3,11.4,69.5,2009
18.3,9.5,48,2010
17.9,9.1,39.7,2011
19.1,11.5,78.1,2012
19.8,11.4,48.5,2013
18,9.8,173,2014
18.3,9.6,100.1,2015
19.5,11.4,61.9,2016
18.7,10.5,73.2,2017
19.9,10.7,48,2018
