Max_temp,Min_temp,Rainfall,Year_feb
9.7,3.6,25.8,1949
8.6,2.4,107.3,1950
6.5,-0.1,60.4,1951
7.2,1,14.1,1952
8.4,2.9,44.8,1953
7.1,1.6,59.3,1954
4.6,-0.3,68.1,1955
5.1,-0.7,30.7,1956
8,2.1,60,1957
8.2,2.6,101.6,1958
9.4,3.3,13.1,1959
7.2,0.9,35.2,1960
10.5,5,50.8,1961
8.1,2.7,26.7,1962
4.1,-0.3,61.9,1963
7.7,2.9,28.3,1964
6.6,1.7,4.7,1965
8.4,4.4,114.5,1966
8.1,3.2,83.8,1967
5.9,0.6,15.9,1968
4.5,-0.4,41.8,1969
6.8,1,60.4,1970
8.3,3.4,39.7,1971
7.9,3.4,59.7,1972
7.9,3,32.5,1973
8.3,3.4,50.9,1974
8.6,4.1,26.2,1975
8.3,3.7,29.3,1976
7.9,3.4,124.4,1977
6.2,1.6,50.3,1978
5.7,1,83.4,1979
9.1,3.7,68.5,1980
7.3,2.5,48.4,1981
9.2,3.4,23.9,1982
5.7,1.4,44.8,1983
8.2,3.2,60.3,1984
7.3,2.7,52,1985
3.6,-0.1,10.2,1986
8.2,1.9,34.5,1987
7.9,2.3,34.3,1988
9.6,3.2,42.6,1989
10.1,4.2,108.8,1990
6.6,0.8,59,1991
10,4.2,23.9,1992
9.2,4.7,19.5,1993
6.8,2.4,99.4,1994
9.1,2.9,92,1995
7.2,0.4,62.4,1996
9.8,2.6,62.3,1997
11,4.8,14,1998
8.7,2.5,32.2,1999
9.8,2.4,46.1,2000
8,0.5,49.5,2001
9.9,3,125.9,2002
7.8,1.7,20.9,2003
8.8,1,19.9,2004
7.5,2,40.6,2005
8,1.9,37.7,2006
9.1,2.6,77.8,2007
9.8,1.8,14.7,2008
7.7,2.5,56.1,2009
5.7,-1.2,36.7,2010
10.3,3.7,76.1,2011
9.2,4,20.5,2012
7.2,1.3,47.3,2013
8.7,2.5,88.5,2014
7.4,0.6,34.6,2015
7.9,1,59.7,2016
9.3,3.2,41.6,2017
6.6,0.2,36.9,2018
