Max_temp,Min_temp,Rainfall,Year_jun
18.8,9.8,22.3,1949
19.2,10,28.8,1950
17.2,8.6,22.9,1951
17.3,8.8,39.2,1952
17.2,9.6,38.6,1953
16.1,8.9,38.7,1954
15.8,9.5,113.9,1955
16.9,8.5,53.9,1956
17.9,9.2,48.5,1957
16.2,9.7,168.5,1958
18.1,9.9,37.2,1959
18.9,10.4,51.1,1960
17.4,9.4,42.4,1961
16.7,8.1,24.9,1962
16.8,9.7,54.3,1963
16.3,9.6,51,1964
17.3,9.9,72.9,1965
17.7,10.9,119.5,1966
18,9.6,11.4,1967
17.7,9.9,51.4,1968
16.8,9.3,46.4,1969
18.7,11.5,31.6,1970
15.5,9.1,71.8,1971
14.8,7.9,58.6,1972
18.3,10.2,20.2,1973
16.6,8.8,39.5,1974
18.3,9.6,14.9,1975
19.8,11.6,22.5,1976
15.9,8.6,65.5,1977
16.6,8.9,37.1,1978
17.4,9.9,44,1979
16.4,9.6,79,1980
16.6,9.5,77.1,1981
17.6,10.5,102.2,1982
17.3,10,54.6,1983
18.2,10.5,38.1,1984
15.9,8.1,78.5,1985
17.4,9.7,82.1,1986
15.7,8.8,112.5,1987
18.3,10.5,38.1,1988
18.2,9.3,67.8,1989
16.7,9.5,71.3,1990
15.7,8.7,79.8,1991
18.9,11.3,37.4,1992
17.5,10.6,148.3,1993
17.1,8.6,21.2,1994
18.1,8.1,11.6,1995
18.1,8,20.8,1996
16.1,8.6,125.3,1997
17.3,8.8,113.1,1998
16.8,7.5,56.3,1999
17.2,9.4,30.9,2000
17.4,8.2,41.5,2001
17.2,9,81.2,2002
18.1,9.7,86.8,2003
19.1,9.8,50.6,2004
18.6,10.3,31.2,2005
19,10.1,26.5,2006
17,9.1,126.4,2007
17.3,8.3,76.4,2008
18.1,8.2,64.3,2009
19.1,9.1,50.3,2010
16.9,7.1,64.3,2011
16.2,9.1,147.7,2012
17.9,7.6,60.8,2013
18.6,8.6,36.2,2014
17.7,8,14.1,2015
18.2,9.8,58.5,2016
18.6,10.2,86.4,2017
20.3,8.7,4.8,2018
