Max_temp,Min_temp,Rainfall,Year_may
14.6,5.8,40.4,1949
14.3,6.9,41.6,1950
12.1,5.5,52.8,1951
15.5,7.8,54.3,1952
16,7.8,50.9,1953
14,6.6,95.6,1954
12.9,5.3,61.8,1955
15.7,6.7,16.1,1956
14.2,6.4,77.1,1957
13.7,6.3,103.9,1958
15.1,7.7,73.6,1959
15.7,8.4,52.4,1960
14.4,7.1,29.6,1961
13.9,6.1,56.8,1962
13.4,5.9,42,1963
15.6,8.1,45.4,1964
14.4,7.3,51.9,1965
14.9,6.7,52.3,1966
12,5.8,129.4,1967
13,5.4,51.8,1968
13.6,7.2,111.2,1969
15.9,8.8,13.2,1970
14.2,6.7,34,1971
13.1,7,66.7,1972
14,7.2,70.9,1973
13.5,7,87.6,1974
13.1,5.7,43.4,1975
14.2,7.2,47.7,1976
13.6,6.4,22.5,1977
15.2,7.6,27.3,1978
12.8,5.1,82.2,1979
14.7,7.3,41,1980
14.2,7.2,92.3,1981
14.7,6.8,59.6,1982
12.7,6.6,79.1,1983
14.3,5.9,34.4,1984
13.7,6.9,70.1,1985
14,6.8,62.5,1986
14.4,6.3,21.7,1987
15,7.4,72.5,1988
16.1,7.3,13.1,1989
16.5,8.4,39.5,1990
15.6,7.8,3.6,1991
15.9,8.5,39.5,1992
13.5,7.1,149.7,1993
12.7,5.7,52.5,1994
14.4,6,49.2,1995
12.9,4.1,69.8,1996
14.7,5.1,61.4,1997
15.7,7,27.2,1998
15.4,7.8,39.2,1999
15,5.9,50.2,2000
16.3,6.4,49.8,2001
15,6.8,121.3,2002
15,6.8,97.4,2003
15.6,6,49.9,2004
14.2,6,67.1,2005
15.1,6.6,116.9,2006
15.3,6.3,35,2007
16,7.2,32.7,2008
15.1,6.7,75.5,2009
14.7,4.5,38,2010
15.1,7.7,37,2011
14.3,5.4,60.4,2012
14.5,5.5,45.8,2013
15.2,7.4,91.5,2014
13.8,5.4,90.5,2015
15.6,6.7,46.8,2016
16.6,6.7,43.5,2017
16.6,6.2,19.1,2018
