Max_temp,Min_temp,Rainfall,Year_sept
18.4,10.9,23.1,1949
15.4,8.1,102.8,1950
16.8,9.9,71.4,1951
14.2,6.8,61.1,1952
16.9,10.1,43.8,1953
15.6,7.8,56.5,1954
17.8,9.8,47.6,1955
16.1,10.7,90.3,1956
15.4,8.7,131.7,1957
17.3,11.3,128.8,1958
18.3,10.3,24.3,1959
16,8.7,81.2,1960
17.3,9.9,86.4,1961
15.2,8.5,129.2,1962
16,8.4,44.9,1963
17.1,10.2,51.7,1964
15.2,8.4,67.7,1965
17.6,10.5,61.3,1966
16.4,9.5,115.5,1967
16.5,10.4,103.5,1968
16.5,9.5,44.9,1969
16.8,10.1,53.8,1970
18.5,10.9,27,1971
16.1,8.2,7.5,1972
16.9,10.1,76.2,1973
14.6,7.7,116,1974
15.9,8.7,124.3,1975
15.9,9.2,144.3,1976
16.1,9.9,29.2,1977
17.6,10.4,38.4,1978
16.5,9.3,41.5,1979
17.2,11.1,97.5,1980
17.8,11,102.8,1981
17,9.9,84,1982
16.8,10.3,76.6,1983
16.6,9.8,76.7,1984
18.1,11,38.2,1985
15.9,7.7,3.6,1986
16.6,9.2,74.8,1987
16,9.2,41.1,1988
16.9,10.3,25.1,1989
16.9,8.4,16.4,1990
18.1,10.1,42.8,1991
15.6,9,64.2,1992
15.4,9,90,1993
15.1,8.2,88.3,1994
17.1,8.3,43.6,1995
17.1,8.7,19,1996
17,9,19.1,1997
17,9.6,95.8,1998
17.9,10.5,104.3,1999
17.4,9.1,99.9,2000
17,8.6,41.7,2001
17.1,8,22.6,2002
18.3,8.6,37.4,2003
17.2,10.1,46.8,2004
17.9,9.6,55.8,2005
18.6,10.8,85.2,2006
17,8.9,39.2,2007
16.4,8.4,114.1,2008
16.7,8.4,24.2,2009
17,9.2,104.3,2010
17.4,10.6,65.2,2011
16.2,7.7,83.4,2012
16.9,9.1,35.1,2013
17.8,8.4,26.5,2014
15.7,7.9,56.6,2015
18,10.6,56.6,2016
16.5,8.3,82.3,2017
16.7,7.7,43.8,2018
